RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,city,state_id,state_name,lat,lng,population,density,geometry
394565,223,Elkhart,msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,45.0,16.0,9.0,12.0,14.0,17.0,17.0,22.0,18.0,13.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,10.0,12.0,14.0,12.0,10.0,6.0,5.0,5.0,6.0,8.0,11.0,14.0,18.0,22.0,30.0,Elkhart,IN,Indiana,41.6916,-85.9627,149423,752.7,POINT (-85.9627 41.6916)
394726,224,Johnson City,msa,TN,69.0,49.0,28.0,23.0,21.0,21.0,25.0,28.0,31.0,33.0,43.0,43.0,43.0,30.0,25.0,17.0,16.0,17.0,18.0,19.0,20.0,22.0,31.0,33.0,30.0,20.0,14.0,13.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,7.0,6.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,12.0,11.0,10.0,6.0,6.0,7.0,6.0,6.0,7.0,8.0,10.0,13.0,16.0,Johnson City,TN,Tennessee,36.3406,-82.3806,131718,628.5,POINT (-82.3806 36.3406)
395247,225,Yuma,msa,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,22.0,15.0,10.0,8.0,9.0,12.0,12.0,9.0,5.0,5.0,7.0,9.0,12.0,11.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,12.0,17.0,23.0,28.0,30.0,31.0,34.0,34.0,32.0,25.0,19.0,13.0,10.0,12.0,14.0,18.0,18.0,32.0,40.0,Yuma,AZ,Arizona,32.5995,-114.5491,135389,307.8,POINT (-114.5491 32.5995)
394623,226,Gainesville,msa,GA,27.0,18.0,17.0,18.0,20.0,24.0,25.0,30.0,30.0,35.0,37.0,33.0,30.0,22.0,21.0,19.0,20.0,26.0,26.0,31.0,30.0,40.0,44.0,46.0,35.0,25.0,22.0,26.0,29.0,29.0,24.0,19.0,15.0,14.0,13.0,10.0,8.0,6.0,6.0,7.0,7.0,7.0,9.0,10.0,11.0,13.0,13.0,11.0,8.0,7.0,8.0,8.0,11.0,14.0,19.0,23.0,25.0,28.0,34.0,31.0,28.0,17.0,15.0,14.0,16.0,18.0,20.0,19.0,25.0,33.0,37.0,Gainesville,GA,Georgia,34.2902,-83.8294,175569,493.1,POINT (-83.8294 34.2902)
394716,227,Jacksonville,msa,NC,33.0,26.0,24.0,28.0,30.0,32.0,34.0,40.0,38.0,32.0,22.0,18.0,13.0,9.0,8.0,10.0,13.0,18.0,23.0,25.0,26.0,27.0,34.0,33.0,26.0,19.0,15.0,14.0,11.0,9.0,8.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,8.0,7.0,6.0,5.0,5.0,7.0,7.0,10.0,11.0,14.0,17.0,19.0,Jacksonville,NC,North Carolina,34.7289,-77.3941,111830,568.9,POINT (-77.3941 34.7289)
394597,228,Florence,msa,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,35.0,24.0,14.0,8.0,6.0,6.0,6.0,6.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,7.0,6.0,7.0,7.0,9.0,10.0,14.0,14.0,19.0,22.0,20.0,14.0,8.0,9.0,8.0,10.0,11.0,14.0,14.0,16.0,20.0,21.0,Florence,SC,South Carolina,34.178,-79.7898,90419,659.0,POINT (-79.7898 34.178)
394680,229,Hilo,msa,HI,53.0,46.0,37.0,38.0,38.0,35.0,38.0,42.0,42.0,41.0,44.0,46.0,50.0,51.0,54.0,52.0,51.0,48.0,51.0,48.0,47.0,41.0,46.0,52.0,53.0,49.0,47.0,50.0,52.0,46.0,40.0,31.0,31.0,28.0,32.0,30.0,26.0,18.0,13.0,10.0,10.0,9.0,10.0,10.0,11.0,12.0,12.0,12.0,10.0,10.0,10.0,11.0,14.0,16.0,21.0,22.0,24.0,23.0,32.0,34.0,36.0,31.0,26.0,21.0,20.0,21.0,21.0,20.0,20.0,22.0,24.0,Hilo,HI,Hawaii,19.6883,-155.0863,47627,343.0,POINT (-155.0863 19.6883)
395118,230,St. Cloud,msa,MN,42.0,32.0,27.0,23.0,22.0,26.0,29.0,33.0,37.0,41.0,48.0,47.0,41.0,29.0,23.0,21.0,23.0,25.0,30.0,35.0,39.0,49.0,56.0,52.0,37.0,22.0,20.0,19.0,20.0,20.0,21.0,21.0,23.0,27.0,29.0,25.0,17.0,10.0,8.0,8.0,10.0,12.0,13.0,16.0,19.0,23.0,21.0,16.0,10.0,7.0,6.0,8.0,11.0,15.0,17.0,18.0,21.0,28.0,36.0,32.0,24.0,14.0,11.0,10.0,12.0,14.0,16.0,16.0,21.0,27.0,34.0,St. Cloud,MN,Minnesota,45.534,-94.1718,116649,662.4,POINT (-94.1718 45.534)
395011,231,Racine,msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,18.0,22.0,24.0,25.0,22.0,31.0,35.0,34.0,19.0,6.0,7.0,10.0,13.0,20.0,23.0,29.0,30.0,33.0,32.0,29.0,22.0,14.0,8.0,7.0,9.0,12.0,13.0,12.0,10.0,19.0,25.0,Racine,WI,Wisconsin,42.7274,-87.8135,132006,1932.5,POINT (-87.8135 42.7274)
394380,232,Bend,msa,OR,33.0,22.0,21.0,21.0,23.0,30.0,39.0,44.0,48.0,55.0,59.0,51.0,39.0,27.0,22.0,18.0,20.0,27.0,35.0,39.0,46.0,51.0,58.0,46.0,30.0,16.0,16.0,19.0,18.0,13.0,9.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,12.0,15.0,16.0,14.0,9.0,5.0,5.0,6.0,8.0,13.0,19.0,27.0,29.0,35.0,40.0,49.0,42.0,28.0,14.0,12.0,12.0,16.0,18.0,23.0,25.0,31.0,37.0,44.0,Bend,OR,Oregon,44.0563,-121.3095,111774,1108.2,POINT (-121.3095 44.0563)
395047,233,Saginaw,msa,MI,43.0,26.0,19.0,19.0,19.0,20.0,25.0,29.0,36.0,40.0,50.0,54.0,47.0,31.0,18.0,15.0,18.0,21.0,23.0,25.0,26.0,38.0,46.0,46.0,35.0,31.0,25.0,21.0,7.0,6.0,6.0,7.0,9.0,13.0,13.0,11.0,7.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,12.0,14.0,19.0,18.0,14.0,9.0,7.0,7.0,8.0,9.0,13.0,14.0,18.0,21.0,24.0,23.0,19.0,13.0,10.0,7.0,8.0,9.0,10.0,11.0,13.0,19.0,29.0,Saginaw,MI,Michigan,43.4199,-83.9501,115442,1000.9,POINT (-83.9501 43.4199)
395202,234,Warner Robins,msa,GA,38.0,24.0,16.0,15.0,18.0,19.0,23.0,24.0,29.0,36.0,37.0,30.0,18.0,14.0,15.0,16.0,16.0,18.0,20.0,20.0,22.0,22.0,26.0,24.0,21.0,15.0,14.0,13.0,11.0,9.0,8.0,8.0,8.0,10.0,10.0,8.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,10.0,13.0,14.0,12.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,11.0,15.0,19.0,20.0,Warner Robins,GA,Georgia,32.5961,-83.6527,146790,819.4,POINT (-83.6527 32.5961)
395151,235,Terre Haute,msa,IN,49.0,31.0,21.0,18.0,21.0,31.0,36.0,43.0,50.0,62.0,77.0,73.0,72.0,51.0,41.0,24.0,22.0,24.0,30.0,37.0,36.0,44.0,58.0,68.0,56.0,50.0,43.0,39.0,20.0,13.0,18.0,21.0,23.0,22.0,22.0,21.0,14.0,8.0,5.0,5.0,6.0,7.0,8.0,10.0,11.0,13.0,12.0,12.0,9.0,7.0,6.0,6.0,7.0,9.0,10.0,11.0,14.0,19.0,22.0,22.0,17.0,13.0,7.0,7.0,9.0,11.0,14.0,15.0,17.0,16.0,28.0,Terre Haute,IN,Indiana,39.466,-87.3751,80567,650.7,POINT (-87.3751 39.466)
395162,236,Torrington,msa,CT,78.0,55.0,38.0,30.0,26.0,29.0,39.0,53.0,65.0,77.0,84.0,79.0,66.0,46.0,33.0,26.0,31.0,39.0,41.0,42.0,51.0,57.0,74.0,69.0,60.0,42.0,35.0,31.0,24.0,14.0,15.0,16.0,18.0,19.0,23.0,22.0,17.0,10.0,7.0,7.0,9.0,11.0,13.0,13.0,13.0,15.0,17.0,17.0,12.0,7.0,6.0,7.0,9.0,10.0,12.0,14.0,14.0,15.0,17.0,16.0,13.0,8.0,7.0,8.0,9.0,9.0,10.0,10.0,12.0,14.0,14.0,Torrington,CT,Connecticut,41.8349,-73.1282,35510,344.8,POINT (-73.1282 41.8349)
395009,237,Punta Gorda,msa,FL,42.0,40.0,42.0,43.0,40.0,39.0,35.0,34.0,32.0,31.0,35.0,38.0,47.0,50.0,55.0,52.0,49.0,43.0,37.0,35.0,33.0,33.0,35.0,36.0,38.0,35.0,40.0,41.0,38.0,27.0,19.0,16.0,16.0,17.0,17.0,13.0,9.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,6.0,6.0,6.0,8.0,11.0,15.0,18.0,24.0,23.0,24.0,19.0,21.0,20.0,21.0,24.0,26.0,30.0,32.0,35.0,36.0,36.0,37.0,44.0,Punta Gorda,FL,Florida,26.8941,-82.0513,19605,491.5,POINT (-82.0513 26.8941)
394386,239,Billings,msa,MT,47.0,37.0,28.0,23.0,22.0,24.0,33.0,37.0,42.0,53.0,60.0,59.0,44.0,30.0,22.0,16.0,20.0,26.0,31.0,36.0,39.0,47.0,52.0,48.0,33.0,19.0,12.0,14.0,13.0,14.0,12.0,9.0,9.0,10.0,10.0,8.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,8.0,9.0,12.0,12.0,15.0,19.0,25.0,22.0,19.0,12.0,11.0,10.0,11.0,13.0,17.0,20.0,26.0,32.0,43.0,Billings,MT,Montana,45.7891,-108.5526,131519,998.3,POINT (-108.5526 45.7891)
395018,240,Redding,msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,47.0,Redding,CA,California,40.5698,-122.365,117163,605.9,POINT (-122.365 40.5698)
394748,241,Kingston,msa,NY,109.0,106.0,91.0,64.0,57.0,62.0,73.0,84.0,86.0,93.0,91.0,103.0,108.0,102.0,81.0,60.0,56.0,61.0,67.0,78.0,86.0,85.0,89.0,96.0,119.0,111.0,104.0,73.0,61.0,46.0,45.0,50.0,55.0,64.0,75.0,77.0,70.0,54.0,46.0,40.0,40.0,44.0,46.0,42.0,37.0,35.0,41.0,43.0,35.0,22.0,16.0,16.0,21.0,27.0,32.0,37.0,40.0,46.0,52.0,53.0,47.0,33.0,24.0,19.0,24.0,29.0,28.0,27.0,27.0,35.0,47.0,Kingston,NY,New York,41.9295,-73.9968,24018,1239.4,POINT (-73.9968 41.9295)
394960,242,Panama City,msa,FL,49.0,37.0,34.0,34.0,37.0,37.0,36.0,38.0,49.0,50.0,47.0,45.0,40.0,40.0,27.0,29.0,33.0,36.0,41.0,41.0,50.0,56.0,65.0,55.0,56.0,53.0,64.0,67.0,61.0,53.0,43.0,35.0,33.0,27.0,38.0,36.0,31.0,17.0,11.0,8.0,6.0,8.0,10.0,12.0,13.0,14.0,13.0,10.0,7.0,6.0,8.0,10.0,14.0,18.0,22.0,26.0,32.0,40.0,46.0,48.0,42.0,33.0,26.0,28.0,34.0,39.0,40.0,38.0,38.0,41.0,49.0,Panama City,FL,Florida,30.1995,-85.6003,169810,373.9,POINT (-85.6003 30.1995)
